"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\narihani\Desktop\video-hosting\backend\contollers\channel-controller.js", "JavaScript", 13, 0, 0, 0, 3, 16
"c:\Users\narihani\Desktop\video-hosting\backend\contollers\video-controller.js", "JavaScript", 3, 0, 0, 1, -1, 3
"c:\Users\narihani\Desktop\video-hosting\backend\router\index.js", "JavaScript", 2, 0, 0, 0, 0, 2
"c:\Users\narihani\Desktop\video-hosting\backend\services\channel-service.js", "JavaScript", 5, 0, 0, 0, 1, 6
"c:\Users\narihani\Desktop\video-hosting\backend\services\video-service.js", "JavaScript", 3, 0, 0, -6, -2, -5
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\ChannelLayout\ChannelLayout.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 1
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\PlayerDescription\PlayerDescription.jsx", "JavaScript JSX", 0, -3, 0, 1, 0, -2
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\Player\Player.jsx", "JavaScript JSX", 0, -12, 0, 1, -3, -14
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\VideoCard\VideoCard.jsx", "JavaScript JSX", 0, -1, 0, 1, 0, 0
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\VideoCard\VideoCard.module.css", "CSS", 0, 0, 3, 0, 0, 3
"c:\Users\narihani\Desktop\video-hosting\frontend\src\pages\Channel\ChannelFeatured\ChannelFeatured.jsx", "JavaScript JSX", 0, 21, 0, 2, 1, 24
"c:\Users\narihani\Desktop\video-hosting\frontend\src\pages\VideoPlayer\VideoPlayer.jsx", "JavaScript JSX", 0, 12, 0, 7, 4, 23
"c:\Users\narihani\Desktop\video-hosting\frontend\src\services\ChannelService.js", "JavaScript", 6, 0, 0, 0, 1, 7
"c:\Users\narihani\Desktop\video-hosting\frontend\src\store\slices\authSlice.js", "JavaScript", 0, 0, 0, -21, 0, -21
"Total", "-", 32, 18, 3, -14, 4, 43